Year,Spawn index,270,271,272,273,274
1951,"1,955",0.000,0.000,0.320,0.680,0.000
1952,484,0.000,0.000,0.000,1.000,0.000
1953,"4,618",0.000,0.000,0.058,0.870,0.071
1954,"2,646",0.000,0.000,0.167,0.771,0.062
1955,575,0.000,0.107,0.122,0.771,0.000
1956,1,0.000,0.000,0.000,1.000,0.000
1957,184,0.000,0.000,0.000,1.000,0.000
1958,39,0.000,0.000,0.000,1.000,0.000
1959,60,0.000,0.000,0.000,1.000,0.000
1960,224,0.000,0.000,0.676,0.324,0.000
1961,169,0.000,0.000,0.000,0.955,0.045
1962,102,0.000,0.000,0.000,0.763,0.237
1963,407,0.000,0.000,0.000,0.948,0.052
1964,"NA",0.000,0.000,0.000,0.000,0.000
1965,"2,517",0.000,0.001,0.460,0.535,0.004
1966,82,0.000,0.000,0.844,0.156,0.000
1967,46,0.000,0.000,0.666,0.334,0.000
1968,142,0.000,0.481,0.000,0.519,0.000
1969,"2,198",0.000,0.000,0.691,0.309,0.000
1970,"2,434",0.000,0.000,0.855,0.084,0.061
1971,290,0.000,0.000,0.000,0.360,0.640
1972,250,0.000,0.000,0.000,0.104,0.896
1973,"2,578",0.000,0.000,0.649,0.283,0.068
1974,"NA",0.000,0.000,0.000,0.000,0.000
1975,"1,606",0.000,0.000,0.000,1.000,0.000
1976,210,0.000,0.000,0.000,0.725,0.275
1977,638,0.000,0.021,0.000,0.899,0.079
1978,"3,595",0.000,0.000,0.271,0.719,0.010
1979,"6,909",0.000,0.000,0.290,0.710,0.000
1980,"14,419",0.000,0.000,0.577,0.423,0.000
1981,"1,828",0.000,0.000,0.000,1.000,0.000
1982,"1,468",0.000,0.000,0.000,1.000,0.000
1983,"2,500",0.000,0.000,0.000,1.000,0.000
1984,"3,004",0.000,0.000,0.000,1.000,0.000
1985,"1,382",0.000,0.000,0.662,0.338,0.000
1986,"3,495",0.000,0.000,0.000,1.000,0.000
1987,952,0.000,0.000,0.000,1.000,0.000
1988,"1,612",0.000,0.000,0.000,1.000,0.000
1989,"4,612",0.000,0.000,0.635,0.365,0.000
1990,"5,212",0.000,0.000,0.316,0.684,0.000
1991,"3,213",0.000,0.000,0.374,0.626,0.000
1992,"2,779",0.000,0.000,0.541,0.459,0.000
1993,"5,576",0.000,0.000,0.160,0.840,0.000
1994,"5,229",0.000,0.000,0.119,0.881,0.000
1995,"2,486",0.000,0.000,0.067,0.933,0.000
1996,"1,373",0.000,0.000,0.000,1.000,0.000
1997,"1,963",0.000,0.000,0.079,0.921,0.000
1998,"2,156",0.000,0.000,0.082,0.918,0.000
1999,657,0.000,0.000,0.066,0.934,0.000
2000,"1,301",0.000,0.000,0.000,1.000,0.000
2001,220,0.000,0.000,0.000,1.000,0.000
2002,917,0.000,0.000,0.000,1.000,0.000
2003,963,0.000,0.000,0.000,1.000,0.000
2004,"1,223",0.000,0.000,0.000,1.000,0.000
2005,"1,918",0.000,0.000,0.141,0.859,0.000
2006,"2,044",0.000,0.000,0.091,0.909,0.000
2007,"2,248",0.000,0.000,0.000,1.000,0.000
2008,796,0.000,0.000,0.000,1.000,0.000
2009,"1,201",0.000,0.000,0.000,1.000,0.000
2010,846,0.000,0.000,0.000,1.000,0.000
2011,547,0.000,0.000,0.000,1.000,0.000
2012,744,0.000,0.000,0.000,1.000,0.000
2013,914,0.000,0.000,0.000,1.000,0.000
2014,"1,307",0.000,0.000,0.000,1.000,0.000
2015,"2,169",0.000,0.000,0.000,1.000,0.000
2016,814,0.000,0.000,0.000,1.000,0.000
2017,26,0.000,0.000,0.000,1.000,0.000
2018,"1,045",0.000,0.000,0.000,1.000,0.000
2019,192,0.000,0.000,0.000,1.000,0.000
2020,"NA",0.000,0.000,0.000,0.000,0.000
2021,"1,653",0.000,0.000,0.000,1.000,0.000
