Year,Spawn index,001,002,003,004,005
1951,"NA",0.000,0.000,0.000,0.000,0.000
1952,"NA",0.000,0.000,0.000,0.000,0.000
1953,203,0.000,0.000,0.463,0.537,0.000
1954,"NA",0.000,0.000,0.000,0.000,0.000
1955,"NA",0.000,0.000,0.000,0.000,0.000
1956,"NA",0.000,0.000,0.000,0.000,0.000
1957,4,0.000,0.000,1.000,0.000,0.000
1958,157,0.000,0.000,0.965,0.000,0.035
1959,"1,916",0.065,0.111,0.663,0.000,0.162
1960,"1,569",0.005,0.253,0.719,0.000,0.023
1961,558,0.120,0.241,0.507,0.000,0.132
1962,"1,715",0.019,0.487,0.458,0.000,0.037
1963,"1,436",0.000,1.000,0.000,0.000,0.000
1964,969,0.007,0.311,0.573,0.073,0.036
1965,439,0.000,0.000,0.482,0.109,0.410
1966,24,0.000,0.600,0.308,0.000,0.092
1967,262,0.022,0.776,0.000,0.000,0.202
1968,73,0.000,0.011,0.752,0.000,0.237
1969,593,0.001,0.100,0.357,0.000,0.541
1970,577,0.000,0.242,0.321,0.000,0.437
1971,604,0.000,0.071,0.691,0.000,0.238
1972,"1,011",0.000,0.094,0.244,0.000,0.662
1973,"1,604",0.000,0.006,0.709,0.000,0.285
1974,"1,675",0.000,0.000,0.433,0.000,0.567
1975,"1,154",0.000,0.122,0.345,0.131,0.403
1976,826,0.000,0.198,0.107,0.000,0.695
1977,"1,174",0.000,0.064,0.185,0.043,0.708
1978,832,0.070,0.000,0.450,0.000,0.480
1979,494,0.192,0.026,0.580,0.036,0.166
1980,"2,114",0.041,0.341,0.185,0.000,0.433
1981,"1,811",0.016,0.699,0.153,0.052,0.080
1982,"4,781",0.000,0.473,0.263,0.053,0.211
1983,"4,869",0.003,0.247,0.414,0.054,0.282
1984,"2,522",0.020,0.419,0.230,0.000,0.330
1985,"1,719",0.000,0.469,0.251,0.005,0.276
1986,684,0.000,0.447,0.068,0.000,0.485
1987,989,0.000,0.865,0.000,0.000,0.135
1988,"3,380",0.010,0.539,0.256,0.038,0.158
1989,"2,719",0.000,0.156,0.500,0.000,0.344
1990,"9,057",0.000,0.702,0.236,0.000,0.062
1991,"2,985",0.000,0.652,0.229,0.000,0.119
1992,"3,909",0.015,0.278,0.552,0.000,0.154
1993,89,0.266,0.560,0.167,0.000,0.007
1994,248,0.000,0.700,0.067,0.000,0.233
1995,"NA",0.000,0.000,0.000,0.000,0.000
1996,0,0.000,0.000,0.000,0.000,0.000
1997,0,0.000,0.000,0.000,0.000,0.000
1998,469,0.000,0.321,0.147,0.000,0.531
1999,0,0.000,0.000,0.000,0.000,0.000
2000,288,0.000,0.000,1.000,0.000,0.000
2001,35,0.000,1.000,0.000,0.000,0.000
2002,149,0.000,0.000,1.000,0.000,0.000
2003,"1,462",0.000,0.194,0.738,0.068,0.000
2004,"2,996",0.000,0.234,0.763,0.000,0.004
2005,575,0.000,0.039,0.961,0.000,0.000
2006,"1,828",0.000,0.506,0.126,0.322,0.045
2007,"1,469",0.000,0.348,0.489,0.122,0.041
2008,"2,000",0.000,0.505,0.299,0.102,0.094
2009,"2,871",0.000,0.961,0.021,0.015,0.003
2010,"2,725",0.000,0.720,0.210,0.009,0.061
2011,"2,641",0.000,0.928,0.072,0.000,0.000
2012,"2,416",0.000,0.965,0.035,0.000,0.000
2013,"2,076",0.000,0.983,0.017,0.000,0.000
2014,"1,368",0.000,1.000,0.000,0.000,0.000
2015,"NA",0.000,0.000,0.000,0.000,0.000
2016,"3,001",0.000,1.000,0.000,0.000,0.000
2017,"NA",0.000,0.000,0.000,0.000,0.000
2018,617,0.000,0.269,0.000,0.000,0.731
2019,"2,884",0.000,1.000,0.000,0.000,0.000
2020,"6,834",0.000,1.000,0.000,0.000,0.000
2021,"1,377",0.000,1.000,0.000,0.000,0.000
2022,"3,299",0.000,1.000,0.000,0.000,0.000
