Year,Spawn index,23,24,25
1951,"19,597",0.177,0.121,0.702
1952,"13,310",0.629,0.148,0.223
1953,"39,571",0.262,0.061,0.676
1954,"20,648",0.292,0.089,0.619
1955,"15,112",0.316,0.095,0.589
1956,"27,183",0.426,0.015,0.559
1957,"44,114",0.174,0.010,0.816
1958,"18,986",0.432,0.127,0.442
1959,"12,979",0.131,0.261,0.608
1960,"6,015",0.486,0.374,0.140
1961,"10,556",0.330,0.408,0.262
1962,"34,470",0.609,0.026,0.365
1963,"11,245",0.639,0.256,0.105
1964,"22,761",0.225,0.478,0.297
1965,"11,891",0.239,0.259,0.503
1966,"3,722",0.301,0.296,0.403
1967,"4,813",0.111,0.130,0.759
1968,"11,029",0.379,0.090,0.531
1969,"10,465",0.558,0.058,0.384
1970,"26,912",0.381,0.343,0.276
1971,"36,206",0.489,0.265,0.246
1972,"41,857",0.252,0.283,0.465
1973,"19,481",0.378,0.196,0.426
1974,"25,540",0.342,0.491,0.167
1975,"49,149",0.238,0.542,0.220
1976,"65,729",0.486,0.355,0.159
1977,"58,679",0.619,0.291,0.091
1978,"45,607",0.251,0.394,0.355
1979,"68,341",0.355,0.448,0.196
1980,"62,308",0.307,0.571,0.122
1981,"51,929",0.315,0.532,0.153
1982,"33,483",0.440,0.219,0.341
1983,"16,771",0.488,0.120,0.391
1984,"24,087",0.285,0.617,0.098
1985,"29,590",0.579,0.356,0.065
1986,"39,514",0.730,0.116,0.154
1987,"16,858",0.001,0.524,0.476
1988,"46,242",0.337,0.453,0.210
1989,"47,718",0.511,0.424,0.066
1990,"46,970",0.398,0.470,0.132
1991,"30,052",0.679,0.229,0.092
1992,"42,366",0.376,0.490,0.134
1993,"36,919",0.536,0.340,0.124
1994,"25,249",0.523,0.213,0.264
1995,"27,128",0.434,0.315,0.251
1996,"33,121",0.347,0.459,0.194
1997,"45,362",0.562,0.314,0.124
1998,"41,011",0.257,0.648,0.095
1999,"19,734",0.226,0.338,0.436
2000,"12,799",0.376,0.115,0.509
2001,"13,414",0.159,0.192,0.649
2002,"21,242",0.705,0.099,0.195
2003,"31,397",0.185,0.081,0.735
2004,"16,432",0.379,0.094,0.527
2005,"9,664",0.412,0.090,0.499
2006,"2,875",0.580,0.248,0.172
2007,"2,246",0.791,0.209,0.000
2008,"2,739",0.677,0.200,0.122
2009,"10,607",0.547,0.125,0.328
2010,"2,464",0.446,0.079,0.475
2011,"9,663",0.267,0.299,0.434
2012,"5,407",0.069,0.368,0.563
2013,"12,258",0.337,0.061,0.602
2014,"13,937",0.631,0.093,0.276
2015,"11,323",0.372,0.185,0.442
2016,"20,528",0.577,0.266,0.157
2017,"16,476",0.320,0.138,0.542
2018,"28,107",0.331,0.194,0.475
2019,"17,030",0.228,0.163,0.610
2020,"18,761",0.562,0.288,0.150
2021,"29,339",0.150,0.728,0.122
2022,"23,707",0.243,0.503,0.254
2023,"77,005",0.163,0.754,0.083
2024,"86,308",0.361,0.460,0.179
